,col1
1,7.310000000000000000e+02 4.980000000000000000e+04 6.820000000000000000e+02 7.330000000000000000e+02 7.030000000000000000e+02 7.320000000000000000e+02 7.040000000000000000e+02 7.670000000000000000e+02 7.200000000000000000e+02 7.300000000000000000e+02 7.080000000000000000e+02
2,7.130000000000000000e+02 7.160000000000000000e+02 7.170000000000000000e+02 7.080000000000000000e+02 7.140000000000000000e+02 3.561000000000000000e+03 2.315000000000000000e+03 2.751000000000000000e+03 2.193000000000000000e+03 9.440000000000000000e+02 1.092000000000000000e+03
3,3.367000000000000000e+03 3.234000000000000000e+03 2.281000000000000000e+03 1.092000000000000000e+03 2.862000000000000000e+03 1.015000000000000000e+03 3.084000000000000000e+03 1.447000000000000000e+03 3.086000000000000000e+03 1.344000000000000000e+03 7.310000000000000000e+02
4,4.980000000000000000e+04 6.820000000000000000e+02 7.330000000000000000e+02 7.030000000000000000e+02 7.320000000000000000e+02 7.040000000000000000e+02 7.670000000000000000e+02 7.200000000000000000e+02 7.300000000000000000e+02 7.080000000000000000e+02 7.130000000000000000e+02
5,7.160000000000000000e+02 7.170000000000000000e+02 7.080000000000000000e+02 7.140000000000000000e+02 3.561000000000000000e+03 2.315000000000000000e+03 2.751000000000000000e+03 2.193000000000000000e+03 9.440000000000000000e+02 1.092000000000000000e+03 3.367000000000000000e+03
6,3.234000000000000000e+03 2.281000000000000000e+03 1.092000000000000000e+03 2.862000000000000000e+03 1.015000000000000000e+03 3.084000000000000000e+03 1.447000000000000000e+03 3.086000000000000000e+03 1.344000000000000000e+03 7.310000000000000000e+02 4.980000000000000000e+04
7,6.820000000000000000e+02 7.330000000000000000e+02 7.030000000000000000e+02 7.320000000000000000e+02 7.040000000000000000e+02 7.670000000000000000e+02 7.200000000000000000e+02 7.300000000000000000e+02 7.080000000000000000e+02 7.130000000000000000e+02 7.160000000000000000e+02
8,7.170000000000000000e+02 7.080000000000000000e+02 7.140000000000000000e+02 3.561000000000000000e+03 2.315000000000000000e+03 2.751000000000000000e+03 2.193000000000000000e+03 9.440000000000000000e+02 1.092000000000000000e+03 3.367000000000000000e+03 3.234000000000000000e+03
9,2.281000000000000000e+03 1.092000000000000000e+03 2.862000000000000000e+03 1.015000000000000000e+03 3.084000000000000000e+03 1.447000000000000000e+03 3.086000000000000000e+03 1.344000000000000000e+03 7.310000000000000000e+02 4.980000000000000000e+04 6.820000000000000000e+02
10,7.330000000000000000e+02 7.030000000000000000e+02 7.320000000000000000e+02 7.040000000000000000e+02 7.670000000000000000e+02 7.200000000000000000e+02 7.300000000000000000e+02 7.080000000000000000e+02 7.130000000000000000e+02 7.160000000000000000e+02 7.170000000000000000e+02
11,7.080000000000000000e+02 7.140000000000000000e+02 3.561000000000000000e+03 2.315000000000000000e+03 2.751000000000000000e+03 2.193000000000000000e+03 9.440000000000000000e+02 1.092000000000000000e+03 3.367000000000000000e+03 3.234000000000000000e+03 2.281000000000000000e+03
